"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"210","Arch Toxicol","Archives of Toxicology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"211","Arch Trauma Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"212","Arch Virol","Archives of Virology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"213","Arch Womens Ment Health","Archives of Women's Mental Health","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"214","Archaea","Archaea: an international microbiological journal","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"215","Arq Bras Cardiol","Arquivos Brasileiros de Cardiologia","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"216","Artery Res","Artery Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"217","Arthritis","Arthritis and Rheumatism","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"218","Arthritis Care Res (Hoboken)","Arthritis Care and Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"219","Arthritis Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"220","Arthritis Res Ther","Arthritis Research and Therapy","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"221","Arthritis Rheum","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"222","Arthritis Rheumatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"223","Artif Organs","Artificial Organs: replacement, recovery, and regeneration","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"224","Arts Health","Arts and Health: an international journal for research, policy and practice","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"225","ASAIO J","ASAIO Journal","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"226","Asia Pac Allergy","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"227","Asia Pac Fam Med","Asia Pacific Family Medicine","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"228","Asia Pac J Clin Oncol","Asia Pacific Journal of Clinical Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"229","Asian J Androl","Asian Journal of Andrology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"230","Asian J Neurosurg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"231","Asian J Transfus Sci","Asian Journal of Transfusion Science","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"232","Asian Spine J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"233","ASN Neuro","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"234","Atherosclerosis","Atherosclerosis","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"235","Atten Defic Hyperact Disord","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"236","Atten Percept Psychophys","Attention, Perception and Psychophysics","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"237","Audiol Neurootol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"238","Aust New Zealand Health Policy","Australia and New Zealand Health Policy","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"239","Australas Phys Eng Sci Med","","Biomedical Engineering ","Chosen.by.Luke","Engineering","Biomedical Engineering"
"240","Autism Res","Autism Research: official journal of the International Society for Autism Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"241","Autism Res Treat","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"242","Autoimmune Dis","Autoimmunity","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"243","Autophagy","Autophagy","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"244","Avicenna J Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"245","Ayu","AYU: an International Quarterly Journal of Research in Ayurveda","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"246","Bacteriophage","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"247","Balkan J Med Genet","Balkan Journal of Medical Genetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"248","Basic Clin Pharmacol Toxicol","Basic and Clinical Pharmacology and Toxicology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"249","Basic Res Cardiol","Basic Research in Cardiology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"250","Behav Brain Funct","Behavioral and Brain Functions","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"251","Behav Brain Res","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"252","Behav Cogn Psychother","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"253","Behav Ecol","Behavioral Ecology","Ecology","Chosen.by.ERA","Biological sciences","Ecology, evolution and earth sciences"
"254","Behav Ecol Sociobiol","Behavioral Ecology and Sociobiology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"255","Behav Genet","Behavior Genetics: an international journal devoted to research in the inheritance of behavior in animals and man","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"256","Behav Med","Behavioral Medicine: relating behavior and health","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"257","Behav Neurol","Behavioural Neurology: an international journal on the relationship between disordered human behavior and underlying biological mechanisms ","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"258","Behav Neurosci","Behavioral Neuroscience","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"259","Behav Processes","Behavioural Processes","Artificial Intelligence And Image Processing","Chosen.by.ERA","Information and computing sciences","Computer sciences"
"260","Behav Res Methods","Behavior Research Methods","Artificial Intelligence And Image Processing","Chosen.by.ERA","Information and computing sciences","Computer sciences"
"261","Behav Res Ther","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"262","Biochem Biophys Res Commun","Biochemical and Biophysical Research Communications","Medicinal And Biomolecular Chemistry","Chosen.by.ERA","Chemical sciences","Biochemistry And Cell Biology"
"263","Biochem Genet","Biochemical Genetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"264","Biochem J","Biochemical Journal","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"265","Biochem Med (Zagreb)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"266","Biochem Res Int","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"267","Biochemistry","Biochemistry","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"268","Biochim Biophys Acta","Biochimica et Biophysica Acta: international journal of biochemistry and biophysics","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"269","Biochimie","Biochimie","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"270","Bioconjug Chem","Bioconjugate Chemistry","Organic Chemistry","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"271","BioData Min","BioData Mining","Medical Biochemistry And Metabolomics","Chosen.by.ERA","Medical and health sciences","Biochemistry And Cell Biology"
"272","Biodivers Data J","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"273","BioDrugs","BioDrugs: clinical immunotherapeutics, biopharmaceuticals and gene therapy","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"274","Bioengineered","","Biomedical Engineering ","Chosen.by.Luke","Engineering","Biomedical Engineering"
"275","Biogerontology","Biogerontology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"276","Bioinform Biol Insights","","Mathematical Sciences","Chosen.by.Luke","Mathematical sciences","Informatics, mathematics and physics"
"277","Bioinformatics","Bioinformatics","Mathematical Sciences","Chosen.by.ERA","Mathematical sciences","Informatics, mathematics and physics"
"278","Bioinformation","","Mathematical Sciences","Chosen.by.Luke","Mathematical sciences","Informatics, mathematics and physics"
"279","Bioinorg Chem Appl","Bioinorganic Chemistry and Applications","Inorganic Chemistry","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"280","Biol Conserv","Biological Conservation","Environmental Sciences","Chosen.by.ERA","Environmental sciences","Ecology, evolution and earth sciences"
"281","Biol Direct","Biology Direct","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"282","Biol Lett","Biology Letters","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"283","Biol Mood Anxiety Disord","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"284","Biol Open","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"285","Biol Proced Online","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"286","Biol Psychiatry","Biological Psychiatry","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"287","Biol Psychol","Biological Psychology","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"288","Biol Rev Camb Philos Soc","Biological Reviews","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"289","Biol Sex Differ","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"290","Biol Sport","Biology of Sport","Human Movement And Sports Science","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"291","Biol Trace Elem Res","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"292","Biologics","Biologicals","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"293","Biology (Basel)","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"294","Biomacromolecules","Biomacromolecules","Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"295","Biomagn Res Technol","Biomagnetic Research and Technology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"296","Biomark Cancer","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"297","Biomark Insights","Biomarker Insights","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"298","Biomark Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"299","Biomarkers","Biomarkers","Environmental Biotechnology","Chosen.by.ERA","Technology","Ecology, evolution and earth sciences"
